feature,importance
edad_anos,0.11219989
ot_180d,0.08122155
corr_180d,0.07984052
edad_dias,0.077263504
costo_total_180d,0.072390005
costo_total_90d,0.072092086
odometro_actual,0.07203158
dias_desde_ultima_ot,0.06922816
horometro_actual,0.06796734
costo_total_30d,0.0676424
corr_30d,0.061415315
ot_30d,0.056107286
ot_90d,0.055665743
corr_90d,0.05493463
horas_dia_promedio,0.0
km_dia_promedio,0.0
mtbf_180d,0.0
dias_ult_correctiva_motor,0.0
dias_ult_correctiva_frenos,0.0
dias_ult_correctiva_transmision,0.0
